#Table1
objID,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroRad_r,petroRad_g,z,zErr
1237648703509430283,197.265157293278,-0.766008189217073,16.24996,14.41509,13.60188,13.22793,12.91506,18.84606,19.39041,0.01720522,8.525175E-06
1237648703509430398,197.272197652312,-0.785176508280525,20.55226,18.33645,17.06733,16.5522,16.19494,5.785663,5.574974,0.1855298,3.170567E-05
1237648703509430434,197.329428057063,-0.674147756698021,19.30204,18.12138,17.7213,17.41397,17.27104,6.420116,7.315448,0.08197818,9.709276E-06
1237648703509430470,197.376364812001,-0.64458220365991,19.29866,17.37684,16.4664,16.04853,15.69904,5.606024,5.905699,0.08087636,2.146449E-05
1237648703509431018,197.35879911138,-0.689472585387637,25.09635,22.24161,20.58577,19.57886,19.16222,2.701776,2.969517,0.5217177,0.0001459156
1237648703509431048,197.367789546698,-0.708207640820077,22.8433,21.75787,20.08091,19.20424,18.77023,6.091965,18.01662,0.4763869,9.084858E-05
1237648703509495973,197.440770387158,-0.791235404077866,19.41171,18.35319,17.67282,17.247,17.01937,4.396249,4.1672,0.1766877,9.263358E-06
1237648703509496044,197.475141856663,-0.662188360323806,21.24486,19.16508,17.7787,17.23916,16.88502,3.889848,3.674629,0.2330416,2.817315E-05
1237648703509496283,197.41604382683,-0.746942489231725,25.10285,21.52872,20.04386,19.11909,18.53552,4.968063,27.91878,0.5027147,0.0001780113
1237648703509496433,197.474038166265,-0.743031348767568,24.21208,22.14303,20.81944,19.78862,19.39183,2.844098,11.3051,0.7163843,5.308126E-05
1237648703509561460,197.56149749564,-0.798708551782862,20.3192,18.22762,17.20477,16.77195,16.37993,3.861801,4.202178,0.1190611,2.776124E-05
1237648703509561479,197.573982230511,-0.654629543291741,19.37618,17.92597,16.92826,16.45157,16.08104,4.448265,4.483253,0.1777052,1.342724E-05
1237648703509561482,197.574281802443,-0.673772368396313,19.60993,17.72777,16.76525,16.29187,16.00943,3.085884,3.077344,0.08436722,1.774624E-05
1237648703509561483,197.574565049173,-0.673158474954408,19.78767,17.68468,16.7858,16.4302,16.04733,3.334239,3.380443,0.08476349,1.970282E-05
1237648703509561498,197.586668006407,-0.79356316352182,19.0912,17.1066,16.20807,15.80922,15.47076,5.646744,5.865997,0.08565257,1.785022E-05
1237648703509561515,197.599799978813,-0.678298859263071,19.57053,17.77846,16.85433,16.37339,15.98376,4.378692,4.86414,0.08626503,1.388E-05
1237648703509561575,197.659145981494,-0.656818382829696,18.36447,16.28006,15.29312,14.87016,14.49654,8.666028,8.78839,0.08642442,1.705112E-05
1237648703509561885,197.576836175925,-0.637101378977645,23.40264,22.10569,20.46775,19.51037,18.9099,2.969282,2.970103,0.4996891,8.297505E-05
1237648703509562137,197.564408194824,-0.740918339712028,23.34519,22.621,21.00253,19.98507,19.49518,2.401947,2.970103,0.6188754,0.0001851118
1237648703509626918,197.710627560937,-0.810031168228765,19.02504,17.50819,16.8133,16.40903,16.18544,5.925666,6.277505,0.07383361,1.426932E-05
1237648703509627152,197.757278904847,-0.704231264957358,19.25043,18.77891,18.33204,18.1385,17.94618,2.173597,2.345219,0.2451568,9.456405E-06
1237648703509627175,197.782266847066,-0.725086469645271,19.80903,17.7426,16.79388,16.36399,15.98931,5.432436,5.763339,0.08574168,2.187794E-05
1237648703509627214,197.81667215394,-0.800438147606907,24.20914,22.69999,20.84443,19.65329,19.14725,3.46939,2.969115,0.7294369,0.0002052363
1237648703509627243,197.742210619593,-0.819423106644811,22.36897,19.87561,18.37019,17.83433,17.50934,4.981127,4.909134,0.2672138,4.65011E-05
1237648703509627556,197.741739787328,-0.698518290086357,22.07351,21.9971,20.30371,19.4996,18.89806,2.387154,43.75714,0.2920091,6.970864E-05
1237648703509627566,197.745823571877,-0.657322522390951,22.72407,21.78753,20.24518,19.42628,18.8411,2.518829,2.605155,0.4668582,5.804532E-05
1237648703509627568,197.747164344969,-0.654365120465572,23.13976,21.41013,19.82452,19.01476,18.55933,3.46363,2.969115,0.4631391,0.0001149178
1237648703509692499,197.883790602341,-0.713999781240986,19.43866,17.48883,16.56063,16.13155,15.78993,5.431506,5.736989,0.08507867,2.073116E-05
1237648703509692605,197.899923627787,-0.772236726415344,19.85813,17.78843,16.66876,16.19886,15.81848,4.750066,5.197958,0.1386508,2.501208E-05
1237648703509692612,197.902451831962,-0.692847195730856,20.36127,18.50964,17.56905,17.166,16.8028,2.499741,2.80695,0.09736972,2.911273E-05
1237648703509692668,197.9665377151,-0.638453259032736,19.15306,17.41266,16.52953,16.11606,15.79965,6.544353,7.439079,0.08238391,2.046522E-05
1237648703509692864,197.842856742696,-0.809209693742789,23.62234,21.87428,20.45335,19.45878,19.19475,3.514719,2.969099,0.5007503,0.0001570681
1237648703509758113,198.02665031538,-0.830769557625298,19.42913,17.37634,16.44042,15.99871,15.68624,12.86585,11.7491,0.08446006,1.93985E-05
1237648703509758114,198.028847071926,-0.831799757763158,20.44045,18.1049,17.0056,16.48024,16.03721,4.899045,5.215043,0.0857183,1.959022E-05
1237648703509758148,198.068251937363,-0.683612655144954,19.43383,18.44541,18.0319,17.74356,17.60784,3.262236,3.447616,0.1124879,6.8557E-06
1237648703509758159,198.071190957354,-0.795849017526622,20.38012,18.43584,17.54425,17.14972,16.81278,2.669333,3.000664,0.08474323,2.644623E-05
1237648703509758176,198.088672960639,-0.802678012638396,19.40479,17.52898,16.63239,16.22235,15.90367,4.491044,4.547219,0.08268686,1.923551E-05
1237648703509758186,198.099857036924,-0.737865695145624,20.14313,18.24194,17.32929,16.84636,16.46382,3.108299,3.793217,0.08327536,2.418931E-05
1237648703509758209,198.119848867502,-0.67864422745094,19.93477,18.83911,18.45093,18.16184,17.99796,2.832825,3.150547,0.0831333,6.375513E-06
1237648703509758235,198.014044172735,-0.73866752076442,19.97462,18.40738,17.56369,17.08301,16.71126,10.48249,10.21542,0.08582125,1.795147E-05
1237648675071132738,248.783087081706,0.802443800376718,21.31055,18.71729,17.2991,16.70556,16.33871,8.143512,8.366386,0.2065565,3.244374E-05
1237648675071329364,249.098649852547,0.791697510428871,23.23132,19.87699,18.0888,17.44938,17.02326,4.888039,5.097363,0.3207301,7.568813E-05
1237648675071460094,249.479311878075,0.79597771764627,19.72725,18.24207,17.65169,17.28164,17.07238,3.312479,3.212668,0.08474916,6.928814E-06
1237648675071525222,249.679882674704,0.798560673368842,19.5635,18.33654,17.72666,17.37551,17.21048,5.430703,5.479954,0.1026237,1.059349E-05
1237648675071525671,249.639176896204,0.77070294776827,20.57895,18.7357,17.65866,17.20189,16.88333,3.307662,3.497996,0.1509493,2.599473E-05
1237648675603153235,237.649480632532,1.12996854316495,19.40331,18.21209,17.63813,17.21235,17.00459,3.380752,3.331392,0.08897925,5.800851E-06
1237648675603153394,237.633362816566,1.23254942881715,21.82803,19.48016,17.89039,17.27663,16.8887,5.57661,5.205196,0.2864824,6.075792E-05
1237648675603153749,237.654796778605,1.22845018072593,25.64181,21.79014,19.84152,19.0317,18.67757,3.799489,2.968654,0.4698426,0.0001265987
1237648675603218728,237.74497616477,1.20286757798458,20.76065,18.52161,17.35407,16.82093,16.38218,3.593521,4.128589,0.1424906,2.778007E-05
1237648675603284221,237.929171492867,1.13460247119238,19.90655,18.31481,17.49024,16.9968,16.59412,4.997667,5.650568,0.08769272,7.465557E-06
1237648675603284379,237.875237438167,1.11322545854603,25.87003,20.28,18.46887,17.82702,17.32402,4.549122,5.265328,0.3402346,6.291216E-05
1237648675603284401,237.927604249963,1.15488401449068,20.49991,18.54588,17.48281,16.91691,16.43251,6.282948,9.016917,0.08945534,3.673518E-05
1237648675603415486,238.316479761173,1.13617607326289,20.72661,18.62565,17.12899,16.55382,16.13172,6.478067,6.049717,0.2260185,4.475966E-05
1237648675603546980,238.575688605125,1.06986258211524,23.67047,20.98543,18.97935,18.31679,17.91835,4.985661,2.968555,0.3400926,0.0001552959
1237648675603611961,238.68714722799,1.08402394419129,20.5132,18.35033,17.15195,16.65387,16.21737,4.588527,4.509741,0.1264581,3.020439E-05
1237648675603612095,238.638635375436,1.16183877108062,19.65629,18.23695,17.40438,16.97411,16.61696,7.255074,7.298766,0.1589259,2.620957E-05
1237648675603677570,238.889882877775,1.20231450034743,19.37122,17.874,17.23508,16.81075,16.53594,5.527265,5.531789,0.06984673,6.287236E-06
1237648675603743074,238.95211339806,1.20601241788535,19.54832,17.7261,16.90218,16.43995,16.12423,7.210501,8.086624,0.1002968,1.59138E-05
1237648675603743287,238.978125333336,1.1246067674296,24.6803,21.20762,19.18901,18.47636,17.99793,3.619678,2.598596,0.3892646,0.0001284776
1237648675603808635,239.15138455562,1.06863771134874,18.68742,17.38063,16.91847,16.65045,16.45192,8.605379,9.532618,0.04958897,7.482447E-06
1237648675603808673,239.159410391704,1.14460509296858,20.61866,18.58444,17.39086,16.90414,16.46021,4.477527,4.65491,0.1480802,3.8947E-05
1237648675603808687,239.175064212082,1.06785072355811,19.11156,17.52936,16.71915,16.2628,15.86935,6.790329,6.622399,0.05020094,7.542399E-06
1237648675603939394,239.409240854992,1.09008012852862,19.4538,17.66171,16.74143,16.32539,16.0302,7.371662,8.052135,0.09217949,2.174841E-05
1237648675603939565,239.366466635442,1.10426363817545,19.75371,18.25738,17.32973,16.88961,16.5726,5.831549,5.989678,0.1171812,2.867689E-05
1237648675604070613,239.678408704122,1.1947803195914,19.35302,17.84436,17.16458,16.87727,16.69646,1.726874,1.74939,-0.0002248255,8.762421E-06
1237648675604267127,240.197212824602,1.06975563082464,18.25095,17.02913,16.44231,16.17621,16.09567,9.926246,9.038433,-7.090262E-05,1.132992E-05
1237648675604267318,240.176249712123,1.14952373800928,19.81425,18.5266,17.86688,17.47517,17.22741,4.449306,4.584588,0.06800771,1.079048E-05
1237648675604463996,240.597023753011,1.19663946440624,18.77401,16.71831,15.68455,15.18589,14.78844,6.430314,7.315635,0.06836636,1.505085E-05
1237648675604660546,241.061735597255,1.145021787447,19.99232,18.69794,18.00713,17.61604,17.43324,4.717111,4.430732,0.1176502,9.928339E-06
1237648675604726382,241.15711972867,1.11679316059687,25.3387,20.83033,18.82289,18.14113,17.68036,3.686227,3.522975,0.3459818,0.0001166599
1237648675604791584,241.328515529724,1.14357195887402,20.54832,18.64172,17.70724,17.269,16.92841,2.93488,3.499764,0.1050607,2.814985E-05
1237648675604987914,241.766474543155,1.10819243999878,18.36716,16.15226,15.06507,14.51372,14.05285,9.732749,10.3512,0.02725771,1.432335E-05
1237648675604988124,241.891795883522,1.09182464702355,25.78228,22.15452,20.38706,19.82223,19.37361,1.541987,1.431229,0.3093446,0.0002467899
1237648675604988405,241.852654857948,1.13841484363252,19.53237,17.64661,16.59679,16.07399,15.67989,4.740796,5.083177,0.05667758,1.796223E-05
1237648675605053874,242.001596221703,1.07627361434789,19.96998,17.97528,16.9376,16.46854,16.11918,4.825862,4.813073,0.1052944,2.641232E-05
1237648675605053923,242.032774690535,1.08536356748174,17.92471,16.89563,16.34107,16.06352,15.82847,5.03359,4.636735,0.0244775,4.412939E-06
1237648675605119645,242.179518235695,1.13447879956551,19.73521,18.2289,17.22315,16.72837,16.38519,5.705176,6.0865,0.1854784,1.735127E-05
1237648675605184926,242.273332856091,1.0829775692964,19.36918,18.02738,17.53441,17.23723,17.04132,4.414733,3.847304,0.05533386,5.40396E-06
1237648675605250186,242.438397490384,1.17187636394415,17.91883,16.78357,16.36801,16.02861,15.8854,13.2549,13.83467,0.05555231,6.571008E-06
1237648675605250449,242.422632789333,1.09231054956897,22.62805,20.4231,18.58273,17.94632,17.54835,4.45612,4.763931,0.3653216,0.0001191152
1237648675605250531,242.451059751996,1.08957908403602,18.46837,17.05451,16.43692,16.05719,15.81721,9.320498,9.853523,0.05591223,8.902135E-06
1237648675605316104,242.591052592067,1.24363458496336,19.49664,18.28441,17.72901,17.33362,17.14402,4.472655,4.474313,0.05762954,7.756537E-06
1237648675605316295,242.629074884428,1.22912463043229,25.67122,21.0266,19.25736,18.5478,18.2946,3.461688,2.796491,0.3662617,0.0001021575
