z_actual,z_predicted,distance,velocity
0.07435275,0.13826859,315.3740824571048,41451.883
0.1612099,0.1582286,561.3555231430707,47435.746
0.08769272,0.15000644,498.93962925843414,44970.8
0.6648378,0.48286885,2181.534070259667,144760.44
0.0001121323,0.24247906,1257.0947133801274,72693.4
0.08322639,0.1457549,446.68564920966145,43696.223
0.6642092,0.5224449,1457.1021533271762,156625.05
0.08148253,0.14627169,383.362827912745,43851.152
0.1120148,0.13368602,300.42080118943227,40078.062
-0.0002248255,0.254189,429.45335508834387,76203.95
0.3692911,0.39735776,1065.2069712066968,119124.87
0.1382874,0.15049301,456.64425689392664,45116.67
0.3678472,0.29799795,959.6392441556734,89337.54
0.02124054,0.05441895,162.21536944804345,16314.392
0.2330416,0.17944936,569.8230329801513,53797.566
0.05439847,0.14600766,393.97984046390604,43771.996
0.2081211,0.14472063,416.0657819037705,43386.156
0.08940969,0.1387762,391.45514005411485,41604.06
0.09148846,0.15237534,475.94196574113306,45680.98
-0.0007767853,0.28340864,402.8988242309002,84963.77
0.1740178,0.15208317,537.514271920753,45593.39
0.4822945,0.44343132,1828.3696347973555,132937.38
0.0002430782,0.3695673,253.35180338974612,110793.49
0.5143065,0.409656,1197.093299694732,122811.78
0.4774528,0.46220618,2020.3378490694065,138565.94
0.4224373,0.44734597,2257.833955006847,134110.95
0.4130972,0.12452685,2085.018918905804,37332.21
0.5634151,0.48141772,2957.1271592570024,144325.4
0.2260185,0.14995942,422.47206742729685,44956.703
0.1847364,0.14664538,513.6248175503465,43963.18
0.1084637,0.13221894,248.1087038876318,39638.242
0.1375907,0.14567418,446.15729662896337,43672.023
0.3870077,0.33165738,944.3348123650316,99428.38
0.3057214,0.25020048,903.2126260885185,75008.22
0.563275,0.48369914,1843.9536485608053,145009.36
0.5741406,0.48051846,2300.774206790433,144055.81
0.5297141,0.31260812,2064.087006716658,93717.56
0.08563361,0.13145891,1591.1385576029757,39410.39
0.4689045,0.4362942,1470.9367549143305,130797.71
0.0833808,0.12593839,261.6700395226558,37755.38
0.1103578,0.14494976,416.8060363868507,43454.848
0.206954,0.15269156,564.6638696007587,45775.777
0.01388197,0.100870915,229.64024418643865,30240.34
0.0002732364,0.33067048,398.83016667204635,99132.516
0.1854784,0.13402528,441.1944087543741,40179.77
0.1229224,0.14718252,406.4676625227137,44124.21
0.4994081,0.460482,1874.2607048479215,138049.03
0.2716944,0.20133999,616.1351703716502,60360.21
0.1478321,0.1516809,503.38468683481494,45472.793
0.3631843,0.20412558,1286.0622781352067,61195.312
0.1052835,0.13576324,278.1775001462193,40700.797
0.08327536,0.151265,463.29541261899135,45348.105
